id,msg,color
int,str,str
1,<val1>は<val2>ダメージを受けた,yellow
2,<val1>に<val2>ダメージを与えた,orange
3,<val1>の攻撃,white
4,<val1>を倒した,white
5,戦闘に勝利した,white
6,戦闘に敗北した,white
7,<val1>を使った,green
8,<val1>のHPが<val2>回復した,blue
9,<val1>は逃げ出した,white
10,<val1>は<val2>を落とした,orange
11,<val1>を手に入れた,green
12,アイテムが一杯で拾うことができない,green
13,<val1>を捨てて<val2>を手に入れた,green
14,<val1>をあきらめた,green
15,捨てるアイテムを選択してください,white
16,<val1>の経験値を獲得した,green
17,<val1>はレベルアップした,orange
18,<val1>はHPが全回復した,blue
19,<val1>は<val2>を発動した,green
20,<val1>は攻撃をかわした,green
21,<val1>に効果はなかった,green
22,<val1>は力尽きた,red
23,<val1>に毒を与えた,yellow
24,<val1>は混乱した,yellow
25,<val1>のスキルを封印した,yellow
26,<val1>は麻痺した,yellow
27,<val1>は眠った,yellow
28,<val1>は盲目になった,yellow
29,<val1>は呪われた,yellow
30,<val1>は衰弱した,yellow
31,HPが足りない,yellow
32,TPが足りない,yellow
33,しかし逃げることはできなかった,yellow
